experimen_no,algorithm,query_strategy,number_of_instances,f1
0,"state=1/foldid=1/ask_ids=['162:2', '81:3', '123:4', '95:1', '113:2', '114:2', '75:1', '76:1', '87:4', '160:1']",cnn-sep,lc,58,0.6653674872195975
1,"state=1/foldid=1/ask_ids=['51:1', '116:2', '59:2', '84:2', '117:3', '70:4', '153:4', '120:4', '152:2', '61:4']",cnn-sep,lc,68,0.7898951143732927
2,"state=1/foldid=1/ask_ids=['58:3', '132:2', '68:1', '133:4', '107:2', '165:4', '85:3', '83:2', '80:2', '111:4']",cnn-sep,lc,78,0.7766149059126137
3,"state=1/foldid=1/ask_ids=['60:1', '90:1', '52:2', '118:1', '158:1', '154:1', '105:4', '89:3', '82:3', '122:1']",cnn-sep,lc,88,0.824792609351433
4,"state=1/foldid=1/ask_ids=['137:1', '145:1', '125:4', '73:2', '161:2', '72:2', '65:4', '103:1', '149:2', '78:1']",cnn-sep,lc,98,0.7706867534453742
5,"state=1/foldid=1/ask_ids=['156:4', '135:2', '164:1', '56:4', '130:2', '119:2', '77:2', '93:1', '69:2', '71:2']",cnn-sep,lc,108,0.7815437368281666
6,"state=1/foldid=1/ask_ids=['63:4', '151:3', '148:3', '79:3', '141:2', '62:4', '115:4', '49:3', '64:1', '147:2']",cnn-sep,lc,118,0.8257944726130114
7,"state=1/foldid=1/ask_ids=['48:4', '138:2', '55:3', '109:3', '96:2', '157:2', '91:2', '94:2', '128:2', '110:2']",cnn-sep,lc,128,0.786553414469236
8,"state=1/foldid=1/ask_ids=['50:1', '150:1', '159:1', '102:1', '100:1', '66:1', '140:1', '67:1', '92:1', '129:1']",cnn-sep,lc,138,0.8242062660841463
9,"state=1/foldid=1/ask_ids=['131:1', '74:3', '136:2', '106:2', '86:2', '53:2', '108:2', '124:2', '112:2', '143:3']",cnn-sep,lc,148,0.8256419853201089
10,"state=1/foldid=1/ask_ids=['104:3', '144:3', '163:1', '98:1', '139:2', '155:2', '54:1', '142:1', '101:1', '134:1']",cnn-sep,lc,158,0.8431063472047078
11,"state=1/foldid=1/ask_ids=['127:2', '88:3', '121:2', '99:2', '126:2', '146:1', '97:3', '57:3']",cnn-sep,lc,166,0.8057899971582836
12,"state=1/foldid=1/ask_ids=['148:3', '128:2', '117:3', '164:1', '79:3', '136:2', '121:2', '58:3', '66:1', '85:3']",cnn-sep,rs,58,0.7070135336528779
13,"state=1/foldid=1/ask_ids=['65:4', '68:1', '135:2', '54:1', '73:2', '51:1', '111:4', '104:3', '162:2', '71:2']",cnn-sep,rs,68,0.6177503052503053
14,"state=1/foldid=1/ask_ids=['92:1', '70:4', '55:3', '120:4', '62:4', '109:3', '88:3', '49:3', '116:2', '89:3']",cnn-sep,rs,78,0.7985776934929478
15,"state=1/foldid=1/ask_ids=['83:2', '118:1', '165:4', '105:4', '156:4', '110:2', '103:1', '123:4', '108:2', '119:2']",cnn-sep,rs,88,0.8316399286987524
16,"state=1/foldid=1/ask_ids=['60:1', '59:2', '98:1', '76:1', '152:2', '61:4', '69:2', '94:2', '122:1', '82:3']",cnn-sep,rs,98,0.6860371813097063
17,"state=1/foldid=1/ask_ids=['126:2', '72:2', '114:2', '107:2', '140:1', '112:2', '86:2', '113:2', '91:2', '96:2']",cnn-sep,rs,108,0.815029510719166
18,"state=1/foldid=1/ask_ids=['93:1', '80:2', '160:1', '115:4', '147:2', '125:4', '146:1', '153:4', '141:2', '142:1']",cnn-sep,rs,118,0.8401249779968315
