experimen_no,algorithm,query_strategy,number_of_instances,f1
21,"state=4/foldid=0/ask_ids=['145:1', '147:2', '104:3', '113:2', '122:1', '157:2', '72:2', '96:2', '52:3', '86:2']",cnn-sep,rs,148,0.7624955821022125
22,"state=4/foldid=0/ask_ids=['68:2', '55:3', '116:3', '98:2', '130:2', '51:1', '93:1', '135:2', '153:4', '161:2']",cnn-sep,rs,158,0.7607647907647908
23,"state=4/foldid=0/ask_ids=['125:3', '127:2', '144:3', '87:4', '134:1', '154:1', '91:2', '61:4']",cnn-sep,rs,166,0.8123103656285733
0,"state=4/foldid=1/ask_ids=['57:3', '147:2', '90:2', '112:2', '86:2', '88:3', '71:3', '69:2', '131:1', '165:4']",cnn-sep,lc,58,0.6846218487394957
1,"state=4/foldid=1/ask_ids=['143:3', '110:3', '148:3', '94:2', '55:3', '140:1', '151:3', '74:3', '158:1', '72:2']",cnn-sep,lc,68,0.6801656314699793
2,"state=4/foldid=1/ask_ids=['70:4', '133:4', '130:2', '79:3', '54:1', '115:4', '104:3', '154:1', '66:1', '93:2']",cnn-sep,lc,78,0.6598102612099039
3,"state=4/foldid=1/ask_ids=['84:2', '48:3', '149:2', '92:1', '125:3', '109:3', '82:3', '99:2', '81:3', '97:3']",cnn-sep,lc,88,0.682326680672269
4,"state=4/foldid=1/ask_ids=['145:1', '100:1', '159:1', '61:4', '62:4', '76:1', '117:3', '64:1', '118:1', '137:1']",cnn-sep,lc,98,0.7640077966164923
5,"state=4/foldid=1/ask_ids=['67:1', '87:4', '142:1', '163:1', '65:4', '49:3', '146:1', '123:4', '132:2', '103:2']",cnn-sep,lc,108,0.7252933431437091
6,"state=4/foldid=1/ask_ids=['111:4', '56:4', '105:4', '164:1', '60:1', '150:1', '50:1', '122:1', '80:2', '141:2']",cnn-sep,lc,118,0.7482488882744638
7,"state=4/foldid=1/ask_ids=['127:2', '121:2', '135:2', '124:2', '91:2', '96:2', '161:2', '98:2', '129:2', '162:2']",cnn-sep,lc,128,0.7518642592172003
8,"state=4/foldid=1/ask_ids=['63:3', '85:3', '113:2', '73:2', '119:2', '107:2', '68:2', '59:2', '134:2', '75:1']",cnn-sep,lc,138,0.6855710449460449
9,"state=4/foldid=1/ask_ids=['114:2', '139:2', '58:3', '136:2', '53:2', '52:3', '152:2', '138:2', '106:2', '102:2']",cnn-sep,lc,148,0.6975139523084729
10,"state=4/foldid=1/ask_ids=['153:4', '126:2', '51:1', '83:2', '160:1', '78:1', '155:2', '157:2', '101:1', '77:2']",cnn-sep,lc,158,0.7605479691876751
11,"state=4/foldid=1/ask_ids=['108:3', '95:1', '89:3', '120:4', '156:4', '144:3', '116:3', '128:3']",cnn-sep,lc,166,0.6970409895707009
12,"state=4/foldid=1/ask_ids=['157:2', '105:4', '49:3', '128:3', '99:2', '114:2', '60:1', '82:3', '151:3', '103:2']",cnn-sep,rs,58,0.6091021488346429
13,"state=4/foldid=1/ask_ids=['74:3', '79:3', '57:3', '64:1', '80:2', '91:2', '120:4', '119:2', '62:4', '112:2']",cnn-sep,rs,68,0.7275266524520256
14,"state=4/foldid=1/ask_ids=['67:1', '71:3', '65:4', '61:4', '116:3', '100:1', '104:3', '70:4', '138:2', '111:4']",cnn-sep,rs,78,0.7013299515494423
15,"state=4/foldid=1/ask_ids=['54:1', '51:1', '78:1', '155:2', '133:4', '69:2', '156:4', '161:2', '141:2', '97:3']",cnn-sep,rs,88,0.7303922949712581
16,"state=4/foldid=1/ask_ids=['89:3', '107:2', '122:1', '160:1', '95:1', '118:1', '94:2', '117:3', '110:3', '121:2']",cnn-sep,rs,98,0.7070257164650757
17,"state=4/foldid=1/ask_ids=['98:2', '129:2', '134:2', '75:1', '137:1', '139:2', '162:2', '108:3', '127:2', '158:1']",cnn-sep,rs,108,0.711309523809524
18,"state=4/foldid=1/ask_ids=['102:2', '154:1', '52:3', '113:2', '132:2', '48:3', '123:4', '90:2', '146:1', '150:1']",cnn-sep,rs,118,0.6705361305361306
19,"state=4/foldid=1/ask_ids=['84:2', '83:2', '88:3', '76:1', '86:2', '130:2', '96:2', '55:3', '53:2', '93:2']",cnn-sep,rs,128,0.7339952053366688
20,"state=4/foldid=1/ask_ids=['87:4', '59:2', '136:2', '81:3', '163:1', '101:1', '142:1', '143:3', '85:3', '68:2']",cnn-sep,rs,138,0.6718624602186246
21,"state=4/foldid=1/ask_ids=['106:2', '165:4', '58:3', '109:3', '56:4', '148:3', '92:1', '126:2', '115:4', '144:3']",cnn-sep,rs,148,0.7033329290969359
22,"state=4/foldid=1/ask_ids=['72:2', '131:1', '164:1', '135:2', '124:2', '147:2', '152:2', '159:1', '145:1', '63:3']",cnn-sep,rs,158,0.6755555555555556
23,"state=4/foldid=1/ask_ids=['149:2', '153:4', '140:1', '73:2', '125:3', '50:1', '77:2', '66:1']",cnn-sep,rs,166,0.6809708730109831
0,"state=4/foldid=2/ask_ids=['124:2', '84:2', '114:2', '119:2', '113:2', '80:2', '129:1', '87:4', '133:4', '92:1']",cnn-sep,lc,58,0.6037446220931667
1,"state=4/foldid=2/ask_ids=['85:3', '70:4', '105:4', '57:4', '65:4', '86:2', '50:1', '150:1', '151:3', '126:2']",cnn-sep,lc,68,0.7528213166144201
2,"state=4/foldid=2/ask_ids=['100:1', '164:1', '90:1', '63:4', '144:2', '94:2', '106:2', '153:4', '122:1', '91:2']",cnn-sep,lc,78,0.7857876073161627
3,"state=4/foldid=2/ask_ids=['88:3', '55:3', '81:3', '111:4', '145:1', '78:1', '76:1', '139:2', '54:1', '118:1']",cnn-sep,lc,88,0.7531198001333084
4,"state=4/foldid=2/ask_ids=['152:2', '165:4', '125:4', '135:2', '115:4', '71:2', '147:2', '72:2', '116:2', '156:4']",cnn-sep,lc,98,0.7933140298241834
5,"state=4/foldid=2/ask_ids=['56:4', '49:3', '61:4', '148:3', '74:3', '142:1', '82:3', '79:3', '146:1', '163:1']",cnn-sep,lc,108,0.8061959803945493
6,"state=4/foldid=2/ask_ids=['48:4', '89:3', '159:1', '109:3', '104:3', '60:1', '95:1', '158:1', '67:1', '99:2']",cnn-sep,lc,118,0.8075894836870446
7,"state=4/foldid=2/ask_ids=['120:4', '97:3', '101:1', '131:1', '140:1', '51:1', '134:1', '53:2', '62:4', '132:2']",cnn-sep,lc,128,0.8213564213564213
8,"state=4/foldid=2/ask_ids=['138:2', '128:2', '162:2', '68:2', '52:2', '110:2', '136:2', '130:2', '123:4', '107:2']",cnn-sep,lc,138,0.8115538223486116
9,"state=4/foldid=2/ask_ids=['64:1', '98:1', '73:2', '154:1', '66:1', '93:1', '112:2', '137:1', '160:1', '127:2']",cnn-sep,lc,148,0.7804236253388797
10,"state=4/foldid=2/ask_ids=['161:2', '103:2', '141:2', '83:2', '58:3', '96:2', '102:2', '155:2', '157:2', '77:2']",cnn-sep,lc,158,0.7660384898779864
11,"state=4/foldid=2/ask_ids=['59:2', '108:2', '69:2', '121:2', '149:2', '75:1', '143:3', '117:3']",cnn-sep,lc,166,0.7760743321718931
12,"state=4/foldid=2/ask_ids=['150:1', '122:1', '62:4', '133:4', '148:3', '49:3', '155:2', '147:2', '105:4', '65:4']",cnn-sep,rs,58,0.7573128921369274
13,"state=4/foldid=2/ask_ids=['80:2', '101:1', '90:1', '162:2', '137:1', '140:1', '114:2', '85:3', '60:1', '96:2']",cnn-sep,rs,68,0.7979798725425062
14,"state=4/foldid=2/ask_ids=['139:2', '146:1', '87:4', '134:1', '156:4', '159:1', '70:4', '94:2', '165:4', '100:1']",cnn-sep,rs,78,0.6080418437397842
15,"state=4/foldid=2/ask_ids=['61:4', '64:1', '92:1', '107:2', '142:1', '84:2', '130:2', '89:3', '67:1', '149:2']",cnn-sep,rs,88,0.6324098917578886
16,"state=4/foldid=2/ask_ids=['58:3', '83:2', '71:2', '152:2', '97:3', '154:1', '82:3', '98:1', '51:1', '66:1']",cnn-sep,rs,98,0.7954022559756497
17,"state=4/foldid=2/ask_ids=['111:4', '106:2', '77:2', '129:1', '116:2', '53:2', '54:1', '109:3', '88:3', '119:2']",cnn-sep,rs,108,0.8083475783475782
18,"state=4/foldid=2/ask_ids=['115:4', '157:2', '118:1', '124:2', '73:2', '74:3', '91:2', '108:2', '86:2', '93:1']",cnn-sep,rs,118,0.8161373858525283
19,"state=4/foldid=2/ask_ids=['103:2', '117:3', '55:3', '95:1', '57:4', '120:4', '113:2', '112:2', '160:1', '141:2']",cnn-sep,rs,128,0.7680220221368355
20,"state=4/foldid=2/ask_ids=['78:1', '131:1', '99:2', '104:3', '52:2', '125:4', '153:4', '68:2', '63:4', '158:1']",cnn-sep,rs,138,0.7395385304659499
21,"state=4/foldid=2/ask_ids=['145:1', '136:2', '151:3', '138:2', '59:2', '50:1', '127:2', '132:2', '76:1', '69:2']",cnn-sep,rs,148,0.7242258652094717
22,"state=4/foldid=2/ask_ids=['110:2', '123:4', '164:1', '163:1', '128:2', '75:1', '143:3', '102:2', '121:2', '161:2']",cnn-sep,rs,158,0.7583756822887258
23,"state=4/foldid=2/ask_ids=['81:3', '72:2', '48:4', '135:2', '144:2', '79:3', '126:2', '56:4']",cnn-sep,rs,166,0.8136731441816188
0,"state=5/foldid=0/ask_ids=['65:4', '97:3', '143:3', '87:4', '144:3', '104:3', '148:3', '114:2', '76:1', '115:4']",cnn-sep,lc,58,0.8373733967754424
1,"state=5/foldid=0/ask_ids=['105:4', '77:2', '90:1', '94:2', '98:1', '80:2', '117:3', '68:1', '140:1', '153:4']",cnn-sep,lc,68,0.7632142588884748
2,"state=5/foldid=0/ask_ids=['52:3', '53:2', '49:3', '89:3', '56:4', '133:4', '128:3', '62:4', '162:2', '156:4']",cnn-sep,lc,78,0.7991254094941082
3,"state=5/foldid=0/ask_ids=['83:2', '48:3', '157:2', '72:2', '139:2', '123:4', '136:2', '93:1', '81:3', '79:3']",cnn-sep,lc,88,0.7755208333333333
4,"state=5/foldid=0/ask_ids=['99:2', '158:1', '70:4', '107:2', '161:2', '130:2', '163:1', '61:4', '126:2', '121:2']",cnn-sep,lc,98,0.773414820473644
5,"state=5/foldid=0/ask_ids=['78:1', '75:1', '131:1', '51:1', '92:1', '66:1', '102:2', '108:2', '86:2', '60:1']",cnn-sep,lc,108,0.816469772954272
6,"state=5/foldid=0/ask_ids=['71:2', '152:2', '134:1', '120:4', '146:1', '82:3', '119:2', '57:3', '85:3', '147:2']",cnn-sep,lc,118,0.7699687088274045
7,"state=5/foldid=0/ask_ids=['64:1', '125:4', '67:1', '63:3', '159:1', '50:1', '154:1', '150:1', '103:2', '160:1']",cnn-sep,lc,128,0.7928853754940711
8,"state=5/foldid=0/ask_ids=['132:2', '138:2', '165:4', '95:1', '59:2', '91:2', '96:2', '54:1', '73:2', '141:2']",cnn-sep,lc,138,0.7290742383910085
9,"state=5/foldid=0/ask_ids=['111:4', '113:2', '137:1', '127:2', '145:1', '116:2', '149:2', '106:2', '155:2', '135:2']",cnn-sep,lc,148,0.7892109929078014
10,"state=5/foldid=0/ask_ids=['112:2', '69:2', '88:3', '109:3', '124:2', '84:2', '58:3', '110:2', '122:1', '101:1']",cnn-sep,lc,158,0.8196542924551014
11,"state=5/foldid=0/ask_ids=['129:1', '164:1', '118:1', '142:1', '100:1', '55:3', '74:3', '151:3']",cnn-sep,lc,166,0.8416087962962963
12,"state=5/foldid=0/ask_ids=['50:1', '161:2', '163:1', '96:2', '138:2', '106:2', '73:2', '66:1', '92:1', '152:2']",cnn-sep,rs,58,0.6575765790187043
13,"state=5/foldid=0/ask_ids=['156:4', '55:3', '157:2', '140:1', '86:2', '93:1', '87:4', '97:3', '67:1', '88:3']",cnn-sep,rs,68,0.7490016366612112
14,"state=5/foldid=0/ask_ids=['111:4', '81:3', '83:2', '100:1', '159:1', '143:3', '117:3', '149:2', '62:4', '99:2']",cnn-sep,rs,78,0.7464813266443701
15,"state=5/foldid=0/ask_ids=['147:2', '75:1', '120:4', '69:2', '108:2', '121:2', '144:3', '98:1', '48:3', '139:2']",cnn-sep,rs,88,0.8270841690949104
16,"state=5/foldid=0/ask_ids=['133:4', '119:2', '127:2', '80:2', '52:3', '124:2', '160:1', '78:1', '72:2', '146:1']",cnn-sep,rs,98,0.8233796296296295
17,"state=5/foldid=0/ask_ids=['53:2', '56:4', '59:2', '115:4', '65:4', '74:3', '107:2', '109:3', '110:2', '113:2']",cnn-sep,rs,108,0.7722065168873679
18,"state=5/foldid=0/ask_ids=['128:3', '82:3', '49:3', '122:1', '63:3', '162:2', '54:1', '126:2', '58:3', '165:4']",cnn-sep,rs,118,0.8260408313285217
19,"state=5/foldid=0/ask_ids=['104:3', '89:3', '151:3', '125:4', '94:2', '51:1', '71:2', '145:1', '60:1', '91:2']",cnn-sep,rs,128,0.8058173710347625
20,"state=5/foldid=0/ask_ids=['148:3', '61:4', '77:2', '90:1', '153:4', '76:1', '114:2', '136:2', '158:1', '135:2']",cnn-sep,rs,138,0.7757170365866018
21,"state=5/foldid=0/ask_ids=['142:1', '131:1', '95:1', '137:1', '57:3', '154:1', '101:1', '70:4', '102:2', '68:1']",cnn-sep,rs,148,0.8067916911950215
22,"state=5/foldid=0/ask_ids=['118:1', '130:2', '132:2', '116:2', '103:2', '84:2', '150:1', '79:3', '164:1', '85:3']",cnn-sep,rs,158,0.7960165726551192
23,"state=5/foldid=0/ask_ids=['112:2', '141:2', '123:4', '129:1', '105:4', '64:1', '155:2', '134:1']",cnn-sep,rs,166,0.8295645530939648
0,"state=5/foldid=1/ask_ids=['104:3', '74:3', '83:2', '142:1', '55:3', '105:4', '89:3', '146:1', '110:2', '162:2']",cnn-sep,lc,58,0.7600174216027875
1,"state=5/foldid=1/ask_ids=['80:2', '159:1', '128:2', '108:2', '60:1', '61:4', '115:4', '82:3', '133:4', '69:2']",cnn-sep,lc,68,0.8050856228556577
2,"state=5/foldid=1/ask_ids=['117:3', '76:1', '70:3', '103:2', '135:2', '151:3', '95:1', '144:3', '72:2', '58:3']",cnn-sep,lc,78,0.6213569039655997
3,"state=5/foldid=1/ask_ids=['120:4', '52:3', '48:3', '123:4', '160:1', '140:1', '116:2', '143:3', '118:1', '158:1']",cnn-sep,lc,88,0.8413071857220793
4,"state=5/foldid=1/ask_ids=['57:3', '125:3', '63:3', '49:3', '79:3', '67:1', '163:1', '65:4', '164:1', '111:3']",cnn-sep,lc,98,0.71499222999223
5,"state=5/foldid=1/ask_ids=['99:2', '66:1', '85:3', '139:2', '68:2', '155:2', '92:1', '101:1', '150:1', '109:3']",cnn-sep,lc,108,0.7542527215623303
6,"state=5/foldid=1/ask_ids=['122:1', '62:4', '121:2', '114:2', '64:1', '137:1', '154:1', '86:2', '77:2', '87:4']",cnn-sep,lc,118,0.7531003854533267
7,"state=5/foldid=1/ask_ids=['97:3', '96:2', '102:2', '112:2', '106:2', '100:1', '113:2', '94:2', '98:2', '84:2']",cnn-sep,lc,128,0.7472222222222222
8,"state=5/foldid=1/ask_ids=['56:4', '153:4', '119:2', '156:4', '90:2', '124:2', '149:2', '165:4', '138:2', '93:2']",cnn-sep,lc,138,0.7831587898317223
9,"state=5/foldid=1/ask_ids=['130:2', '75:1', '53:2', '71:2', '51:1', '107:2', '59:2', '50:1', '141:2', '54:1']",cnn-sep,lc,148,0.7330393803658081
10,"state=5/foldid=1/ask_ids=['129:2', '78:1', '157:2', '134:1', '161:2', '147:2', '73:2', '88:3', '81:3', '145:1']",cnn-sep,lc,158,0.8083167825223436
11,"state=5/foldid=1/ask_ids=['91:2', '127:2', '132:2', '136:2', '152:2', '126:2', '131:1', '148:3']",cnn-sep,lc,166,0.6707372069383755
12,"state=5/foldid=1/ask_ids=['139:2', '90:2', '101:1', '117:3', '110:2', '50:1', '112:2', '104:3', '108:2', '70:3']",cnn-sep,rs,58,0.7121286641747
13,"state=5/foldid=1/ask_ids=['79:3', '55:3', '159:1', '49:3', '143:3', '144:3', '154:1', '160:1', '59:2', '95:1']",cnn-sep,rs,68,0.7721093285799169
14,"state=5/foldid=1/ask_ids=['89:3', '128:2', '155:2', '84:2', '63:3', '97:3', '68:2', '102:2', '124:2', '148:3']",cnn-sep,rs,78,0.7932596270831564
15,"state=5/foldid=1/ask_ids=['119:2', '53:2', '103:2', '146:1', '111:3', '141:2', '72:2', '132:2', '163:1', '52:3']",cnn-sep,rs,88,0.7345448422011549
16,"state=5/foldid=1/ask_ids=['125:3', '96:2', '91:2', '94:2', '161:2', '158:1', '162:2', '109:3', '76:1', '74:3']",cnn-sep,rs,98,0.7904914529914531
17,"state=5/foldid=1/ask_ids=['62:4', '156:4', '100:1', '64:1', '51:1', '147:2', '75:1', '165:4', '135:2', '88:3']",cnn-sep,rs,108,0.7384095203244139
18,"state=5/foldid=1/ask_ids=['138:2', '85:3', '83:2', '127:2', '105:4', '82:3', '69:2', '116:2', '114:2', '129:2']",cnn-sep,rs,118,0.7992275698158051
19,"state=5/foldid=1/ask_ids=['113:2', '123:4', '81:3', '66:1', '78:1', '130:2', '134:1', '80:2', '140:1', '61:4']",cnn-sep,rs,128,0.7891539832716303
20,"state=5/foldid=1/ask_ids=['93:2', '99:2', '77:2', '48:3', '120:4', '131:1', '107:2', '151:3', '153:4', '142:1']",cnn-sep,rs,138,0.8076252723311547
21,"state=5/foldid=1/ask_ids=['126:2', '136:2', '106:2', '92:1', '86:2', '164:1', '121:2', '118:1', '145:1', '71:2']",cnn-sep,rs,148,0.7728949439307495
22,"state=5/foldid=1/ask_ids=['149:2', '150:1', '133:4', '137:1', '60:1', '98:2', '122:1', '157:2', '65:4', '58:3']",cnn-sep,rs,158,0.7731485583097488
23,"state=5/foldid=1/ask_ids=['73:2', '56:4', '57:3', '54:1', '67:1', '152:2', '87:4', '115:4']",cnn-sep,rs,166,0.8226294462371573
0,"state=5/foldid=2/ask_ids=['55:3', '125:4', '111:4', '99:2', '129:2', '83:2', '150:1', '71:3', '142:1', '80:2']",cnn-sep,lc,58,0.764985905567301
1,"state=5/foldid=2/ask_ids=['110:3', '161:3', '84:2', '91:2', '96:2', '49:3', '104:3', '66:1', '90:1', '87:4']",cnn-sep,lc,68,0.7185180105268573
2,"state=5/foldid=2/ask_ids=['116:3', '115:4', '148:3', '146:1', '73:3', '131:1', '103:2', '144:3', '164:1', '118:1']",cnn-sep,lc,78,0.7972940316960773
3,"state=5/foldid=2/ask_ids=['62:4', '120:4', '145:1', '133:4', '57:4', '48:4', '97:3', '153:4', '70:4', '157:3']",cnn-sep,lc,88,0.810769299798779
4,"state=5/foldid=2/ask_ids=['105:4', '78:1', '162:2', '82:3', '151:3', '109:3', '93:1', '67:1', '112:2', '132:2']",cnn-sep,lc,98,0.8147930922124471
5,"state=5/foldid=2/ask_ids=['108:3', '64:1', '88:3', '163:1', '86:2', '165:4', '79:3', '92:1', '50:1', '98:1']",cnn-sep,lc,108,0.8383928897724697
6,"state=5/foldid=2/ask_ids=['106:2', '160:1', '63:4', '89:3', '61:4', '138:2', '135:2', '51:1', '77:2', '76:1']",cnn-sep,lc,118,0.8565079365079366
7,"state=5/foldid=2/ask_ids=['74:3', '65:4', '128:3', '101:1', '117:3', '52:3', '81:3', '54:1', '136:2', '158:1']",cnn-sep,lc,128,0.8409297063796868
8,"state=5/foldid=2/ask_ids=['140:1', '139:2', '154:1', '122:1', '130:2', '100:1', '119:2', '95:1', '124:2', '155:2']",cnn-sep,lc,138,0.8652751520693405
9,"state=5/foldid=2/ask_ids=['127:2', '85:3', '58:3', '143:3', '107:2', '141:2', '159:1', '149:2', '72:2', '94:2']",cnn-sep,lc,148,0.8546390750995823
10,"state=5/foldid=2/ask_ids=['121:2', '69:2', '134:1', '147:2', '102:2', '53:2', '59:2', '152:2', '114:2', '113:2']",cnn-sep,lc,158,0.7776382831886995
11,"state=5/foldid=2/ask_ids=['126:2', '156:4', '137:1', '68:2', '75:1', '123:4', '60:1', '56:4']",cnn-sep,lc,166,0.8335232668566002
12,"state=5/foldid=2/ask_ids=['104:3', '97:3', '84:2', '147:2', '162:2', '165:4', '161:3', '73:3', '128:3', '156:4']",cnn-sep,rs,58,0.6857495666817325
13,"state=5/foldid=2/ask_ids=['81:3', '54:1', '117:3', '145:1', '123:4', '62:4', '114:2', '60:1', '59:2', '75:1']",cnn-sep,rs,68,0.7484380066274051
14,"state=5/foldid=2/ask_ids=['118:1', '51:1', '92:1', '106:2', '87:4', '129:2', '131:1', '126:2', '98:1', '50:1']",cnn-sep,rs,78,0.8006582852584911
15,"state=5/foldid=2/ask_ids=['121:2', '140:1', '95:1', '109:3', '65:4', '136:2', '135:2', '66:1', '103:2', '99:2']",cnn-sep,rs,88,0.7894494394494396
16,"state=5/foldid=2/ask_ids=['68:2', '119:2', '132:2', '164:1', '138:2', '48:4', '57:4', '133:4', '100:1', '160:1']",cnn-sep,rs,98,0.7745152702431183
17,"state=5/foldid=2/ask_ids=['142:1', '107:2', '115:4', '102:2', '105:4', '67:1', '150:1', '127:2', '69:2', '79:3']",cnn-sep,rs,108,0.778528821167021
18,"state=5/foldid=2/ask_ids=['101:1', '76:1', '130:2', '158:1', '137:1', '56:4', '134:1', '124:2', '163:1', '120:4']",cnn-sep,rs,118,0.8310576923076922
19,"state=5/foldid=2/ask_ids=['111:4', '83:2', '53:2', '82:3', '116:3', '110:3', '58:3', '78:1', '155:2', '94:2']",cnn-sep,rs,128,0.8186489816626803
20,"state=5/foldid=2/ask_ids=['49:3', '64:1', '113:2', '71:3', '80:2', '89:3', '122:1', '70:4', '63:4', '152:2']",cnn-sep,rs,138,0.7735232509426058
21,"state=5/foldid=2/ask_ids=['144:3', '74:3', '86:2', '72:2', '151:3', '77:2', '90:1', '108:3', '159:1', '88:3']",cnn-sep,rs,148,0.7685390802587865
22,"state=5/foldid=2/ask_ids=['143:3', '52:3', '146:1', '96:2', '55:3', '61:4', '154:1', '112:2', '125:4', '85:3']",cnn-sep,rs,158,0.6934065934065934
23,"state=5/foldid=2/ask_ids=['139:2', '153:4', '93:1', '91:2', '141:2', '149:2', '148:3', '157:3']",cnn-sep,rs,166,0.8470910621940371
0,"state=6/foldid=0/ask_ids=['68:2', '48:4', '162:2', '144:2', '131:1', '125:4', '80:2', '151:3', '124:2', '61:4']",cnn-sep,lc,58,0.7277939822960938
1,"state=6/foldid=0/ask_ids=['156:4', '88:3', '54:1', '77:2', '108:2', '165:4', '118:1', '157:2', '98:2', '153:4']",cnn-sep,lc,68,0.752649532276505
2,"state=6/foldid=0/ask_ids=['99:2', '146:1', '129:2', '84:2', '63:4', '150:1', '69:2', '137:1', '143:3', '49:3']",cnn-sep,lc,78,0.7758374183006537
3,"state=6/foldid=0/ask_ids=['155:2', '140:1', '51:1', '94:2', '116:2', '65:4', '95:1', '111:4', '130:2', '72:2']",cnn-sep,lc,88,0.7351445724087236
4,"state=6/foldid=0/ask_ids=['110:2', '135:2', '115:4', '62:4', '120:4', '105:4', '126:2', '85:3', '59:2', '81:3']",cnn-sep,lc,98,0.7043655160517033
5,"state=6/foldid=0/ask_ids=['138:2', '113:2', '97:3', '53:2', '96:2', '133:4', '141:2', '121:2', '128:2', '91:2']",cnn-sep,lc,108,0.7820125708959209
6,"state=6/foldid=0/ask_ids=['100:1', '92:1', '83:2', '152:2', '75:1', '93:1', '76:1', '67:1', '87:4', '122:1']",cnn-sep,lc,118,0.6678763602423865
7,"state=6/foldid=0/ask_ids=['123:4', '109:3', '132:2', '74:3', '148:3', '147:2', '114:2', '112:2', '79:2', '106:2']",cnn-sep,lc,128,0.6987373737373738
8,"state=6/foldid=0/ask_ids=['136:2', '104:2', '73:2', '161:2', '71:2', '102:2', '149:2', '119:2', '127:2', '58:2']",cnn-sep,lc,138,0.7583785474275242
9,"state=6/foldid=0/ask_ids=['56:4', '50:1', '78:1', '66:1', '164:1', '159:1', '163:1', '64:1', '154:1', '142:1']",cnn-sep,lc,148,0.723690754194776
10,"state=6/foldid=0/ask_ids=['70:4', '82:3', '103:2', '139:2', '52:2', '55:3', '86:2', '107:2', '89:3', '145:1']",cnn-sep,lc,158,0.7651130002073399
11,"state=6/foldid=0/ask_ids=['101:1', '134:1', '60:1', '117:3', '158:1', '90:1', '160:1', '57:3']",cnn-sep,lc,166,0.7438355123137732
12,"state=6/foldid=0/ask_ids=['81:3', '87:4', '151:3', '71:2', '108:2', '94:2', '69:2', '122:1', '52:2', '70:4']",cnn-sep,rs,58,0.588385955831608
13,"state=6/foldid=0/ask_ids=['74:3', '127:2', '144:2', '109:3', '78:1', '162:2', '80:2', '58:2', '135:2', '98:2']",cnn-sep,rs,68,0.6895877754086709
14,"state=6/foldid=0/ask_ids=['141:2', '116:2', '164:1', '107:2', '89:3', '130:2', '75:1', '61:4', '160:1', '86:2']",cnn-sep,rs,78,0.7082187420422714
15,"state=6/foldid=0/ask_ids=['57:3', '156:4', '114:2', '105:4', '112:2', '145:1', '155:2', '159:1', '111:4', '88:3']",cnn-sep,rs,88,0.7007058441798009
16,"state=6/foldid=0/ask_ids=['103:2', '49:3', '143:3', '77:2', '48:4', '113:2', '66:1', '161:2', '115:4', '148:3']",cnn-sep,rs,98,0.6498760159801624
17,"state=6/foldid=0/ask_ids=['72:2', '62:4', '102:2', '53:2', '142:1', '55:3', '137:1', '126:2', '152:2', '146:1']",cnn-sep,rs,108,0.6951589680851985
18,"state=6/foldid=0/ask_ids=['73:2', '147:2', '63:4', '90:1', '157:2', '82:3', '138:2', '50:1', '101:1', '54:1']",cnn-sep,rs,118,0.7092105263157895
19,"state=6/foldid=0/ask_ids=['117:3', '163:1', '118:1', '136:2', '83:2', '95:1', '132:2', '119:2', '120:4', '96:2']",cnn-sep,rs,128,0.7334212956854467
20,"state=6/foldid=0/ask_ids=['153:4', '67:1', '128:2', '165:4', '158:1', '84:2', '56:4', '129:2', '99:2', '134:1']",cnn-sep,rs,138,0.706904761904762
21,"state=6/foldid=0/ask_ids=['92:1', '93:1', '68:2', '100:1', '154:1', '131:1', '85:3', '76:1', '125:4', '91:2']",cnn-sep,rs,148,0.7556566721682254
22,"state=6/foldid=0/ask_ids=['79:2', '51:1', '150:1', '124:2', '140:1', '133:4', '106:2', '121:2', '60:1', '149:2']",cnn-sep,rs,158,0.6949793961819865
23,"state=6/foldid=0/ask_ids=['104:2', '65:4', '64:1', '139:2', '110:2', '123:4', '97:3', '59:2']",cnn-sep,rs,166,0.7342827284887172
0,"state=6/foldid=1/ask_ids=['161:3', '63:4', '115:4', '52:3', '54:1', '140:1', '75:1', '107:2', '71:3', '146:1']",cnn-sep,lc,58,0.8853081421502474
1,"state=6/foldid=1/ask_ids=['77:2', '73:3', '102:2', '106:2', '136:2', '150:1', '141:2', '70:4', '156:4', '87:4']",cnn-sep,lc,68,0.8396141347107721
2,"state=6/foldid=1/ask_ids=['101:1', '96:3', '153:4', '134:1', '133:4', '137:1', '67:1', '118:1', '123:4', '151:4']",cnn-sep,lc,78,0.883286366076221
3,"state=6/foldid=1/ask_ids=['92:1', '122:1', '78:1', '125:4', '64:1', '120:4', '48:4', '76:1', '98:2', '53:2']",cnn-sep,lc,88,0.8172865737203973
4,"state=6/foldid=1/ask_ids=['61:4', '95:1', '113:3', '109:3', '66:1', '116:3', '110:3', '56:4', '57:4', '89:3']",cnn-sep,lc,98,0.7953276858418703
5,"state=6/foldid=1/ask_ids=['162:2', '58:3', '132:2', '155:2', '144:3', '93:1', '100:1', '104:3', '85:4', '88:3']",cnn-sep,lc,108,0.8828839166188563
6,"state=6/foldid=1/ask_ids=['131:1', '50:1', '80:3', '160:1', '159:1', '74:3', '165:4', '154:1', '65:4', '128:3']",cnn-sep,lc,118,0.8355803253592156
7,"state=6/foldid=1/ask_ids=['145:1', '143:3', '117:3', '108:3', '164:1', '55:4', '142:1', '60:1', '79:3', '148:3']",cnn-sep,lc,128,0.8484786905839538
